,VTI,VBR,TLT,IEF,IEI,SHY,GSG,GLD
2010-01-04,46.08189,55.52,66.13332,71.24535,94.21502,75.3901,32.7,109.8
2010-01-05,46.258790000000005,55.46,66.56042,71.55816999999999,94.51414,75.48085,33.03,109.7
2010-01-06,46.32312,55.55,65.66942,71.26941,94.38595,75.48993,33.27,111.51
2010-01-07,46.5161,56.04,65.77986999999999,71.26941,94.35176,75.47178000000001,33.11,110.82
2010-01-08,46.66887,56.24,65.75041999999999,71.35764,94.4885,75.54438,33.18,111.37
2010-01-11,46.7332,56.21,65.3896,71.40576999999999,94.59106,75.58068,33.02,112.85
2010-01-12,46.25075,55.55,66.50887,71.91914,95.00129,75.64421,32.28,110.49
2010-01-13,46.68496,56.21,65.73569,71.57422,94.68507,75.58068,32.26,111.54
2010-01-14,46.76536,56.39,66.65615,71.91112,94.91582,75.65329,32.2,112.03
2010-01-15,46.23467,55.72,67.06851999999999,72.23196999999999,95.17221,75.71681,31.77,110.86
2010-01-19,46.84577,56.59,66.87706,72.10361999999999,95.0782,75.73496,32.01,111.52
2010-01-20,46.411570000000005,56.06,67.55452,72.35228000000001,95.25768,75.73496,31.42,108.94
2010-01-21,45.55924,55.09,67.8638,72.61699,95.52261,75.79849,30.88,107.37
2010-01-22,44.55414,53.98,67.74598,72.68115999999999,95.57389,75.86202,30.08,107.17
2010-01-25,44.74712,54.22,67.43670999999999,72.52074,95.48843,75.79849,30.35,107.48
2010-01-26,44.5461,53.76,67.45879000000001,72.66512,95.60808,75.80757,30.04,107.56
2010-01-27,44.7632,54.2,67.42197,72.49667,95.40296,75.78034,29.58,106.53
2010-01-28,44.23251,53.38,67.38515,72.4726,95.52261,75.81664,29.55,106.48
2010-01-29,43.70985,52.85,67.97425,72.75335,95.75336,75.88925,29.24,105.96
2010-02-01,44.37724,53.45,67.35722,72.50386,95.59409,75.85654,29.76,108.35
2010-02-02,44.94814,54.15,67.54935,72.62458000000001,95.6369,75.86563000000001,30.54,109.13
2010-02-03,44.723,53.72,66.76604,72.27852,95.43138,75.81111999999999,30.43,108.7
2010-02-04,43.33194,51.95,67.82276,72.87408,95.97945,75.92014,29.18,104.37
2010-02-05,43.4043,52.2,67.97055999999999,73.10746,96.20209,76.03823,28.61,104.68
2010-02-08,43.066590000000005,51.65,68.05923,73.04308,96.09933,75.98373000000001,28.82,104.04
2010-02-09,43.63749,52.32,67.37938,72.64873,95.89381,75.91105,29.39,105.41
2010-02-10,43.57316,52.31,66.73647,72.44753,95.62833,75.82928000000001,29.46,105.12
2010-02-11,44.03953,53.11,66.37438,72.35901,95.65403,75.85654,29.86,107.13
2010-02-12,44.03953,53.4,66.6478,72.52802,95.83386,75.92014,29.5,107.04
2010-02-16,44.77928,54.51,66.77342,72.68896,95.9195,75.92922,30.41,109.62
2010-02-17,45.02855,54.86,66.01228,72.30266999999999,95.59409,75.86563000000001,30.47,109.25
2010-02-18,45.28585,55.42,65.74625,72.04513,95.39713,75.8202,30.91,109.98
2010-02-19,45.446670000000005,55.66,66.10096,72.08537,95.2858,75.79295,31.1,109.47
2010-02-22,45.3743,55.83,65.82755,72.02904000000001,95.31149,75.8202,31.11,109.07
2010-02-23,44.82753,55.16,66.85471,72.57629,95.76536,75.8838,30.51,107.89
2010-02-24,45.22957,55.73,67.01729,72.61654,95.73967,75.92014,30.86,107.36
2010-02-25,45.21349,55.81,67.39416,72.88212,96.04795,75.98373000000001,30.35,108.31
2010-02-26,45.21349,55.5,67.74148000000001,72.98675,96.13358,76.01098,30.97,109.43
2010-03-01,45.75222,56.56,67.71152,73.07026,96.18849,75.99707,30.59,109.43
2010-03-02,45.89696,56.98,67.62257,73.1106,96.27428,75.99707,30.86,111.02
2010-03-03,45.95324,57.15,67.45206,73.03798,96.27428,75.98798000000001,31.36,111.63
2010-03-04,46.07385,57.39,67.8079,73.16709,96.30002,75.9607,31.05,110.83
2010-03-05,46.80556,58.41,66.91832,72.8201,95.97402,75.89705,31.34,110.81
2010-03-08,46.81361,58.6,66.56991,72.62643,95.86249,75.86068,31.27,109.88
2010-03-09,46.9101,58.76,66.58473000000001,72.81203000000001,95.98259,75.91523000000001,30.99,109.72
2010-03-10,47.15936,59.16,66.41423,72.69099,95.83675,75.89705,31.28,108.47
2010-03-11,47.33626,59.3,66.65886,72.62643,95.72523,75.80611999999999,31.21,108.6
2010-03-12,47.33626,59.37,67.074,72.7394,95.7338,75.81522,30.98,107.95
2010-03-15,47.32018,59.29,66.98504,72.7394,95.78528,75.8425,30.64,108.36
2010-03-16,47.706140000000005,59.88,67.51879,73.02184,96.02549,75.86068,31.1,110.4
2010-03-17,48.01169,60.32,67.8079,73.1106,96.01691,75.87886,31.42,109.59
2010-03-18,47.9554,60.24,67.5855,72.91694,95.80243,75.8334,31.32,110.34
2010-03-19,47.64181,59.62,67.65222,72.8201,95.63943,75.77884,30.8,108.28
2010-03-22,47.97952,60.33,67.72636,73.06219,95.87106,75.80611999999999,30.89,107.75
2010-03-23,48.317240000000005,60.9,67.40759,72.90887,95.78528,75.77884,30.75,108.32
2010-03-24,48.03581,60.41,66.17701,72.1826,95.159,75.66064,30.48,106.3
2010-03-25,47.95185,60.02,65.75446,71.91631,95.03032,75.68791,30.33,106.78
2010-03-26,47.94378,60.04,65.93979,72.08577,95.17616,75.73338000000001,30.27,108.59
2010-03-29,48.22633,60.37,65.68774,71.98085999999999,95.17616,75.76975,30.94,108.75
2010-03-30,48.25055,60.4,65.89531,72.05349,95.21048,75.75156,31.2,107.97
2010-03-31,48.10524,60.02,66.34751,72.22295,95.38206,75.80611999999999,31.16,108.95
2010-04-01,48.45236,60.62,66.1853,72.07323000000001,95.2703,75.77882,31.88,110.26
2010-04-05,48.92058,61.71,65.08408,71.42583,94.64272,75.56948,32.38,110.89
2010-04-06,49.05782,62.25,65.18825,71.63623,94.83186,75.62408,32.32,111.03
2010-04-07,48.799490000000006,62.07,66.02161,72.08133000000001,95.17574,75.74240999999999,32.23,112.49
2010-04-08,48.91251,62.09,66.05136999999999,72.0004,95.11555,75.72421,32.02,112.65
2010-04-09,49.24349,62.52,66.20763000000001,72.08133000000001,95.14134,75.74240999999999,32.01,113.64
2010-04-12,49.35651,62.67,66.55733000000001,72.27555,95.32188,75.77882,31.84,113.01
2010-04-13,49.40494,62.95,66.77311999999999,72.41313000000001,95.43364,75.76061,31.97,112.69
2010-04-14,50.0104,64.12,66.30435,72.2189,95.33047,75.76061,32.45,113.03
2010-04-15,50.07497,64.21,66.37876,72.34029,95.50241,75.81522,32.61,113.65
2010-04-16,49.291920000000005,63.29,66.86241,72.7773,95.88068,75.93354000000001,31.99,111.24
2010-04-19,49.42109,63.11,66.69872,72.59926,95.68295,75.86073,31.62,111.15
2010-04-20,49.88931,64.07,66.93681,72.63163,95.63996,75.86983000000001,31.68,111.46
2010-04-21,49.84894,64.59,67.48743,72.86632,95.77752,75.87894,31.76,112.31
2010-04-22,50.09112,65.31,67.28653,72.69637,95.58839,75.82432,31.77,111.84
